strategy,strategy_family,aum,regime,name_count,mean_one_way_turnover,n_days,gross_annualized_return,cost_adjusted_return,cost_adjusted_return_ci_low,cost_adjusted_return_ci_high,sharpe,sharpe_ci_low,sharpe_ci_high,tracking_error,tracking_error_ci_low,tracking_error_ci_high
min_vol,smart_beta,1000000000.0,all,414.2926829268293,0.35512349739065374,2564,0.1027877603303955,-0.05880208537693976,-0.1615447083338695,0.04052268296045886,-0.2623815258818924,-0.7432228474074527,0.3472941541885222,0.14637793173603486,0.12246466835219548,0.17601852684740155
min_vol,smart_beta,1000000000.0,normal,414.2926829268293,0.35512349739065374,794,0.07024140835444981,-0.08244297226708186,-0.19444224648499392,0.042963309023946246,-0.6316662162610382,-1.5478901419033262,0.43011819487265496,0.13327494564312004,0.11672377729585165,0.14907421442609933
min_vol,smart_beta,1000000000.0,calm,414.2926829268293,0.35512349739065374,921,0.13257939020751586,0.03195434449587342,-0.06562942713236633,0.13424757561320963,0.35261486344860143,-0.46984844028709893,1.549990400966931,0.09941266011256465,0.07450386497885968,0.12529902092487014
min_vol,smart_beta,1000000000.0,volatile,414.2926829268293,0.35512349739065374,849,0.10179150857033648,-0.12761160116863213,-0.36112197455545425,0.12691564993216073,-0.41236711957871286,-1.2100198593955536,0.7510156514260218,0.19333874228506456,0.14486199302953878,0.25153864547814525
quality,smart_beta,1000000000.0,all,415.5609756097561,0.00859232691741257,2577,0.19032138953172328,0.16381689330607663,0.05126826039912732,0.29243174787713855,0.9118899222309772,0.34831887259002076,1.5954398995467087,0.05418343737050875,0.04873117476843003,0.05981703940733443
quality,smart_beta,1000000000.0,normal,415.5609756097561,0.00859232691741257,797,0.12815800257530574,0.1029110066490333,-0.021697651930175664,0.22930274501516523,0.8091214400552467,-0.09530618621512578,1.704914475447026,0.058141120669841395,0.048629775333592126,0.06825291832378469
quality,smart_beta,1000000000.0,calm,415.5609756097561,0.00859232691741257,930,0.19521993631916912,0.18820355546470613,0.10478358396997717,0.28000770704962924,1.968965665929083,1.1413977242648299,2.813155729165448,0.04167862156713198,0.03460777760583267,0.048382990941141735
quality,smart_beta,1000000000.0,volatile,415.5609756097561,0.00859232691741257,850,0.24609304813241661,0.19609947013616957,-0.09334458900418549,0.5395275421350291,0.7787892751269578,-0.14261360009345703,1.8993372947163774,0.06191100633337499,0.05158042272343131,0.0722025134727008
multi_factor,smart_beta,1000000000.0,all,438.9512195121951,0.089690488817509,2566,0.17731300771414604,0.15044776544043925,0.04237853231867366,0.26883117643244386,0.8670801319442942,0.30582374646104915,1.5535968948576204,0.016287232686640736,0.014203177589812693,0.018613351835143975
multi_factor,smart_beta,1000000000.0,normal,438.9512195121951,0.089690488817509,794,0.11148069265045435,0.09570839026120082,-0.02255954771522185,0.22003938581918314,0.7483885024383315,-0.09530540213738946,1.5827872442462279,0.016380670289629827,0.012800192021532403,0.020354383972881095
multi_factor,smart_beta,1000000000.0,calm,438.9512195121951,0.089690488817509,923,0.21506628739032063,0.20279292334015175,0.11661402757102414,0.29434752890224314,2.288734010384514,1.368512852757226,3.1905219158663662,0.012174884638466082,0.010124587535407906,0.01446711449853314
multi_factor,smart_beta,1000000000.0,volatile,438.9512195121951,0.089690488817509,849,0.2004837555365384,0.14688369405123125,-0.11982536619896123,0.46300547645258716,0.6399638449831113,-0.24731977045519415,1.763339497717837,0.019730595478843455,0.01614812168799744,0.023591900739709966
